GroupId,QuizId,OrganizationId,SchemeOfWorkId
5302,6729,5302-6729-8409,8409
5262,6729,5262-6729-8412,8412
9073,6729,9073-6729-8412,8412
11453,6729,11453-6729-8409,8409
2159,6729,2159-6729-8412,8412
9123,6729,9123-6729-8412,8412
7174,6729,7174-6729-8412,8412
6336,6729,6336-6729-8409,8409
11076,6729,11076-6729-8412,8412
5885,6729,5885-6729-8412,8412
7092,6729,7092-6729-8409,8409
5981,6729,5981-6729-8412,8412
6336,6729,6336-6729-8412,8412
4863,6729,4863-6729-8409,8409
857,6729,857-6729-8412,8412
9073,15391,9073-15391-8413,8413
2159,15391,2159-15391-8413,8413
11684,7188,11684-7188-8400,8400
11355,7188,11355-7188-8400,8400
8414,7188,8414-7188-8400,8400
10934,7188,10934-7188-8400,8400
8411,7188,8411-7188-8399,8399
3337,7188,3337-7188-8400,8400
11669,7188,11669-7188-8399,8399
11781,7188,11781-7188-8400,8400
4294,7188,4294-7188-8399,8399
1797,7188,1797-7188-8399,8399
3247,7188,3247-7188-8400,8400
11061,7188,11061-7188-8400,8400
10866,7188,10866-7188-8400,8400
11684,16400,11684-16400-8400,8400
11355,16400,11355-16400-8399,8399
1995,16400,1995-16400-8400,8400
6480,16400,6480-16400-8400,8400
2308,16400,2308-16400-8400,8400
11408,16400,11408-16400-8400,8400
8411,16400,8411-16400-8399,8399
8613,16400,8613-16400-8399,8399
10224,16400,10224-16400-8400,8400
2261,16400,2261-16400-8400,8400
11669,16400,11669-16400-8399,8399
11339,16400,11339-16400-8400,8400
6010,16400,6010-16400-8400,8400
9729,16400,9729-16400-8400,8400
8414,16400,8414-16400-8400,8400
1797,16400,1797-16400-8399,8399
11781,16400,11781-16400-8400,8400
4584,16400,4584-16400-8400,8400
9190,16400,9190-16400-8400,8400
518,16400,518-16400-8400,8400
1641,16400,1641-16400-8400,8400
10934,16400,10934-16400-8400,8400
4570,16400,4570-16400-8400,8400
6158,16400,6158-16400-8400,8400
11509,16400,11509-16400-8400,8400
6206,16400,6206-16400-8400,8400
10707,4907,10707-4907-8413,8413
9073,4907,9073-4907-8413,8413
58,4907,58-4907-8413,8413
6237,4907,6237-4907-8413,8413
4034,4907,4034-4907-8413,8413
933,4907,933-4907-8413,8413
8740,6722,8740-6722-8399,8399
1995,7188,1995-7188-8399,8399
8362,7188,8362-7188-8400,8400
11509,7188,11509-7188-8400,8400
6237,15391,6237-15391-8413,8413
518,15391,518-15391-8399,8399
6822,392,6822-392-8400,8400
11684,392,11684-392-8400,8400
11355,392,11355-392-8400,8400
3247,392,3247-392-8400,8400
5026,392,5026-392-8399,8399
8414,392,8414-392-8400,8400
11669,392,11669-392-8399,8399
8362,392,8362-392-8400,8400
11781,392,11781-392-8400,8400
10224,392,10224-392-8400,8400
3337,392,3337-392-8400,8400
10866,392,10866-392-8400,8400
10934,392,10934-392-8400,8400
8411,392,8411-392-8399,8399
6094,392,6094-392-8400,8400
11509,392,11509-392-8400,8400
4294,392,4294-392-8399,8399
11781,16161,11781-16161-8400,8400
11757,16161,11757-16161-8400,8400
9729,392,9729-392-8400,8400
1797,392,1797-392-8399,8399
11061,392,11061-392-8400,8400
1605,4591,1605-4591-8409,8409
5906,4591,5906-4591-8409,8409
11581,4591,11581-4591-8412,8412
10608,4591,10608-4591-8412,8412
5437,4591,5437-4591-8409,8409
4371,4591,4371-4591-8412,8412
8414,2816,8414-2816-8400,8400
8411,2816,8411-2816-8399,8399
11740,4591,11740-4591-8412,8412
2486,2816,2486-2816-8400,8400
11684,2816,11684-2816-8400,8400
989,4591,989-4591-8409,8409
11757,4591,11757-4591-8412,8412
3704,4591,3704-4591-8409,8409
518,2816,518-2816-8400,8400
1641,2816,1641-2816-8400,8400
5404,4591,5404-4591-8412,8412
4611,4591,4611-4591-8412,8412
6206,2816,6206-2816-8400,8400
3247,2816,3247-2816-8400,8400
11061,2816,11061-2816-8400,8400
4034,15391,4034-15391-8409,8409
11684,9800,11684-9800-8408,8408
11355,9800,11355-9800-8408,8408
6480,9800,6480-9800-8399,8399
10883,9800,10883-9800-8408,8408
11050,9800,11050-9800-8408,8408
1371,9800,1371-9800-8408,8408
2796,9800,2796-9800-8408,8408
10224,9800,10224-9800-8408,8408
7303,9800,7303-9800-8399,8399
3371,9800,3371-9800-8399,8399
5026,9800,5026-9800-8408,8408
4207,12940,4207-12940-8412,8412
10558,12940,10558-12940-8412,8412
2936,12940,2936-12940-8409,8409
5437,12940,5437-12940-8409,8409
5302,12940,5302-12940-8409,8409
5262,12940,5262-12940-8412,8412
5906,12940,5906-12940-8409,8409
10877,12940,10877-12940-8409,8409
10790,12940,10790-12940-8409,8409
7174,12940,7174-12940-8412,8412
7821,12940,7821-12940-8412,8412
7092,12940,7092-12940-8409,8409
2159,12940,2159-12940-8412,8412
3704,12940,3704-12940-8409,8409
1605,12940,1605-12940-8409,8409
8221,12940,8221-12940-8412,8412
5981,12940,5981-12940-8412,8412
5404,12940,5404-12940-8412,8412
5885,12940,5885-12940-8412,8412
4863,12940,4863-12940-8409,8409
2429,12940,2429-12940-8412,8412
6680,12940,6680-12940-8409,8409
11223,12940,11223-12940-8412,8412
3247,16400,3247-16400-8400,8400
5026,16400,5026-16400-8400,8400
1903,6729,1903-6729-8412,8412
625,7207,625-7207-8400,8400
11339,7207,11339-7207-8399,8399
518,7207,518-7207-8399,8399
10790,6729,10790-6729-8409,8409
7817,7598,7817-7598-8412,8412
10558,7598,10558-7598-8412,8412
5437,7598,5437-7598-8409,8409
482,7598,482-7598-8412,8412
9073,7598,9073-7598-8412,8412
1903,7598,1903-7598-8412,8412
8674,7598,8674-7598-8412,8412
11076,7598,11076-7598-8412,8412
1605,7598,1605-7598-8409,8409
7234,7598,7234-7598-8412,8412
4371,7598,4371-7598-8412,8412
4611,7598,4611-7598-8412,8412
5262,7598,5262-7598-8412,8412
11740,7598,11740-7598-8412,8412
933,7598,933-7598-8412,8412
9168,7598,9168-7598-8412,8412
5885,7598,5885-7598-8412,8412
4678,7598,4678-7598-8412,8412
9123,7598,9123-7598-8412,8412
11757,7598,11757-7598-8412,8412
8391,7598,8391-7598-8409,8409
674,7598,674-7598-8412,8412
8721,10844,8721-10844-8409,8409
8052,10844,8052-10844-8409,8409
6680,10844,6680-10844-8412,8412
989,4907,989-4907-8413,8413
11435,4907,11435-4907-8413,8413
5471,15391,5471-15391-8413,8413
5809,12960,5809-12960-66321,66321
11076,12940,11076-12940-8412,8412
10996,12940,10996-12940-8412,8412
11740,12940,11740-12940-8412,8412
3833,12940,3833-12940-8409,8409
1836,15391,1836-15391-8408,8408
8063,15391,8063-15391-8409,8409
11669,2816,11669-2816-8399,8399
6094,2816,6094-2816-8400,8400
2429,6729,2429-6729-8412,8412
2261,7207,2261-7207-8399,8399
6206,9800,6206-9800-8399,8399
8925,9800,8925-9800-8399,8399
8740,9800,8740-9800-8399,8399
5437,10844,5437-10844-8409,8409
5026,2816,5026-2816-8400,8400
2159,4591,2159-4591-8412,8412
625,7188,625-7188-8400,8400
8920,7188,8920-7188-8400,8400
5437,11602,5437-11602-8409,8409
1605,11602,1605-11602-8409,8409
10707,11602,10707-11602-8412,8412
482,11602,482-11602-8412,8412
8674,11602,8674-11602-8412,8412
5679,11602,5679-11602-8412,8412
989,11602,989-11602-8412,8412
1903,11602,1903-11602-8409,8409
4371,11602,4371-11602-8412,8412
10608,11602,10608-11602-8412,8412
11076,11602,11076-11602-8412,8412
5404,11602,5404-11602-8412,8412
4611,11602,4611-11602-8412,8412
9168,11602,9168-11602-8412,8412
7234,11602,7234-11602-8412,8412
5885,11602,5885-11602-8412,8412
7274,11602,7274-11602-8412,8412
11740,11602,11740-11602-8412,8412
933,11602,933-11602-8412,8412
8710,11602,8710-11602-8409,8409
7817,11602,7817-11602-8412,8412
2493,11602,2493-11602-8412,8412
9123,11602,9123-11602-8412,8412
8052,7598,8052-7598-8412,8412
2261,6722,2261-6722-8399,8399
4010,14165,4010-14165-28228,28228
7646,14165,7646-14165-28228,28228
3553,14165,3553-14165-28228,28228
5446,14165,5446-14165-28237,28237
1766,14165,1766-14165-28228,28228
9158,14165,9158-14165-28228,28228
1962,16095,1962-16095-8380,8380
9878,16095,9878-16095-8380,8380
2095,16095,2095-16095-8380,8380
9172,16095,9172-16095-8380,8380
5188,16095,5188-16095-8380,8380
10257,16095,10257-16095-8380,8380
2309,16095,2309-16095-8380,8380
2794,16095,2794-16095-8380,8380
5221,16095,5221-16095-8380,8380
4189,16095,4189-16095-8380,8380
9799,16095,9799-16095-8380,8380
5093,16095,5093-16095-8380,8380
194,16095,194-16095-8380,8380
3825,16095,3825-16095-8380,8380
5234,16095,5234-16095-8380,8380
617,16095,617-16095-8380,8380
7275,16095,7275-16095-8380,8380
1661,16095,1661-16095-8380,8380
6329,16095,6329-16095-8380,8380
340,16095,340-16095-8380,8380
8208,16095,8208-16095-8380,8380
8449,3315,8449-3315-40960,40960
5434,3315,5434-3315-40960,40960
3538,3315,3538-3315-40960,40960
2294,3315,2294-3315-40960,40960
7427,3315,7427-3315-40960,40960
186,3315,186-3315-40960,40960
5179,3315,5179-3315-40960,40960
5704,3315,5704-3315-40960,40960
5654,3315,5654-3315-40960,40960
605,3315,605-3315-40960,40960
10568,3315,10568-3315-40960,40960
11146,3315,11146-3315-40960,40960
9990,5810,9990-5810-28228,28228
4010,5810,4010-5810-28228,28228
7646,5810,7646-5810-28228,28228
3553,5810,3553-5810-28228,28228
5446,5810,5446-5810-28237,28237
10918,5810,10918-5810-28228,28228
5272,5810,5272-5810-28228,28228
9141,5810,9141-5810-28237,28237
9158,5810,9158-5810-28228,28228
11826,5810,11826-5810-28228,28228
4684,5810,4684-5810-28228,28228
11418,5810,11418-5810-28228,28228
10600,12199,10600-12199-28228,28228
3461,12199,3461-12199-28228,28228
9828,12199,9828-12199-28228,28228
9641,12199,9641-12199-28228,28228
376,12199,376-12199-28228,28228
4010,12199,4010-12199-28228,28228
11218,12199,11218-12199-28228,28228
9877,12199,9877-12199-28228,28228
8562,9946,8562-9946-28237,28237
6193,9946,6193-9946-28237,28237
8627,12199,8627-12199-28228,28228
10718,12199,10718-12199-28228,28228
7949,12199,7949-12199-28228,28228
4248,12199,4248-12199-28228,28228
7450,9946,7450-9946-28237,28237
6093,9946,6093-9946-28237,28237
9158,12199,9158-12199-28228,28228
9149,12199,9149-12199-28228,28228
3427,12199,3427-12199-28228,28228
11355,6402,11355-6402-8399,8399
8414,6402,8414-6402-8400,8400
8411,6402,8411-6402-8399,8399
11684,6402,11684-6402-8400,8400
10224,6402,10224-6402-8400,8400
11669,6402,11669-6402-8399,8399
1797,6402,1797-6402-8399,8399
3337,6402,3337-6402-8400,8400
11339,6402,11339-6402-8400,8400
8613,6402,8613-6402-8399,8399
10934,6402,10934-6402-8400,8400
10291,6402,10291-6402-8400,8400
3247,6402,3247-6402-8400,8400
6158,6402,6158-6402-8400,8400
11408,6402,11408-6402-8400,8400
6206,6402,6206-6402-8400,8400
11061,6402,11061-6402-8400,8400
6094,6402,6094-6402-8400,8400
5188,10761,5188-10761-8380,8380
9878,10761,9878-10761-8380,8380
2095,10761,2095-10761-8380,8380
617,10761,617-10761-8380,8380
1962,10761,1962-10761-8380,8380
10709,10761,10709-10761-8380,8380
7006,10761,7006-10761-8380,8380
2309,10761,2309-10761-8380,8380
5221,10761,5221-10761-8380,8380
10257,10761,10257-10761-8380,8380
4189,10761,4189-10761-8380,8380
194,10761,194-10761-8380,8380
3825,10761,3825-10761-8380,8380
2794,10761,2794-10761-8380,8380
7694,10761,7694-10761-8380,8380
5234,10761,5234-10761-8380,8380
1661,10761,1661-10761-8380,8380
9172,10761,9172-10761-8380,8380
7275,10761,7275-10761-8380,8380
6657,10761,6657-10761-8380,8380
340,10761,340-10761-8380,8380
10794,2862,10794-2862-8412,8412
5302,2862,5302-2862-8409,8409
5262,2862,5262-2862-8412,8412
5437,2862,5437-2862-8409,8409
10877,2862,10877-2862-8412,8412
4863,2862,4863-2862-8409,8409
7174,2862,7174-2862-8412,8412
6697,2862,6697-2862-8412,8412
482,2862,482-2862-8412,8412
1605,2862,1605-2862-8409,8409
7092,2862,7092-2862-8409,8409
4207,2862,4207-2862-8412,8412
2159,2862,2159-2862-8412,8412
5885,2862,5885-2862-8412,8412
11223,2862,11223-2862-8412,8412
3115,2862,3115-2862-8412,8412
10790,2862,10790-2862-8409,8409
7817,2862,7817-2862-8412,8412
5981,2862,5981-2862-8412,8412
4611,2862,4611-2862-8412,8412
2936,2862,2936-2862-8412,8412
4684,14165,4684-14165-28228,28228
5272,14165,5272-14165-28228,28228
9141,14165,9141-14165-28237,28237
206,3393,206-3393-40959,40959
4853,3393,4853-3393-40959,40959
5438,3393,5438-3393-40959,40959
1065,3393,1065-3393-40959,40959
3538,3393,3538-3393-40959,40959
5547,3393,5547-3393-40959,40959
2262,3393,2262-3393-40959,40959
9652,3393,9652-3393-40959,40959
3618,3393,3618-3393-40959,40959
2729,3393,2729-3393-40959,40959
5944,3393,5944-3393-40959,40959
3524,3393,3524-3393-40959,40959
8207,3393,8207-3393-40959,40959
1134,3393,1134-3393-40959,40959
4975,3393,4975-3393-40959,40959
4390,3393,4390-3393-40959,40959
4044,3393,4044-3393-40959,40959
1360,3393,1360-3393-40959,40959
7974,3393,7974-3393-40959,40959
3443,3393,3443-3393-40959,40959
5056,3393,5056-3393-40959,40959
13,3393,13-3393-40959,40959
11612,3393,11612-3393-40959,40959
10501,3393,10501-3393-40959,40959
3358,3393,3358-3393-40959,40959
2425,3393,2425-3393-40959,40959
7895,3393,7895-3393-40959,40959
7716,3393,7716-3393-40959,40959
6361,3393,6361-3393-40959,40959
10409,3393,10409-3393-40959,40959
7915,3393,7915-3393-40959,40959
6191,3393,6191-3393-40959,40959
5239,3393,5239-3393-40959,40959
9183,3393,9183-3393-40959,40959
5530,3393,5530-3393-40959,40959
7810,3393,7810-3393-40959,40959
4820,3393,4820-3393-40959,40959
2604,3393,2604-3393-40959,40959
1286,3393,1286-3393-40959,40959
2487,3393,2487-3393-40959,40959
6538,3393,6538-3393-40959,40959
4167,3393,4167-3393-40959,40959
10803,3393,10803-3393-40959,40959
6308,3393,6308-3393-40959,40959
7915,3406,7915-3406-40959,40959
1065,3406,1065-3406-40959,40959
3772,3406,3772-3406-40959,40959
5137,3406,5137-3406-40959,40959
6992,3406,6992-3406-40959,40959
7885,3406,7885-3406-40959,40959
3171,3406,3171-3406-40959,40959
7810,3406,7810-3406-40959,40959
9242,3406,9242-3406-40959,40959
2783,14165,2783-14165-28228,28228
1065,936,1065-936-40959,40959
5137,936,5137-936-40959,40959
10501,936,10501-936-40959,40959
10405,936,10405-936-40959,40959
5530,936,5530-936-40959,40959
2545,936,2545-936-40959,40959
605,12677,605-12677-40960,40960
2294,12677,2294-12677-40960,40960
3538,12677,3538-12677-40960,40960
6673,12677,6673-12677-40960,40960
10397,12677,10397-12677-40960,40960
10042,12677,10042-12677-40960,40960
10322,12677,10322-12677-40960,40960
3742,12677,3742-12677-40960,40960
4795,12677,4795-12677-40960,40960
1028,12677,1028-12677-40960,40960
8525,12677,8525-12677-40960,40960
2654,12677,2654-12677-40960,40960
8444,12677,8444-12677-40960,40960
11295,12677,11295-12677-40960,40960
1956,12677,1956-12677-40960,40960
7232,12677,7232-12677-40960,40960
7331,12677,7331-12677-40960,40960
7566,12677,7566-12677-40960,40960
4055,12677,4055-12677-40960,40960
8238,12677,8238-12677-40960,40960
1753,12677,1753-12677-40960,40960
11146,12677,11146-12677-40960,40960
9220,12677,9220-12677-40960,40960
10055,12677,10055-12677-40960,40960
1109,12677,1109-12677-40960,40960
2795,12677,2795-12677-40960,40960
10164,12677,10164-12677-40960,40960
7427,12677,7427-12677-40960,40960
3377,12677,3377-12677-40960,40960
4162,12677,4162-12677-40960,40960
8688,12677,8688-12677-40960,40960
7943,12677,7943-12677-40960,40960
1854,12677,1854-12677-40960,40960
2670,12677,2670-12677-40960,40960
5803,12677,5803-12677-40960,40960
3695,12677,3695-12677-40960,40960
5654,12677,5654-12677-40960,40960
10904,12677,10904-12677-40960,40960
6983,12677,6983-12677-40960,40960
10941,12677,10941-12677-40960,40960
11684,10437,11684-10437-8400,8400
11355,10437,11355-10437-8399,8399
1836,10437,1836-10437-8400,8400
8414,10437,8414-10437-8400,8400
8411,10437,8411-10437-8399,8399
10224,10437,10224-10437-8400,8400
518,10437,518-10437-8400,8400
11339,10437,11339-10437-8400,8400
1797,10437,1797-10437-8399,8399
3337,10437,3337-10437-8400,8400
8613,10437,8613-10437-8399,8399
1641,10437,1641-10437-8400,8400
6206,10437,6206-10437-8400,8400
6094,10437,6094-10437-8400,8400
1995,10437,1995-10437-8400,8400
11669,10437,11669-10437-8399,8399
10291,10437,10291-10437-8400,8400
11061,10437,11061-10437-8400,8400
2294,2330,2294-2330-40960,40960
10182,2330,10182-2330-40960,40960
5704,2330,5704-2330-40960,40960
605,2330,605-2330-40960,40960
3276,2330,3276-2330-40960,40960
7618,2330,7618-2330-40960,40960
9640,2330,9640-2330-40960,40960
2116,17226,2116-17226-28228,28228
4085,17226,4085-17226-28228,28228
376,17226,376-17226-28228,28228
1086,17226,1086-17226-28237,28237
9828,17226,9828-17226-28228,28228
9652,17226,9652-17226-28228,28228
9158,17226,9158-17226-28228,28228
6605,17226,6605-17226-28228,28228
8562,17226,8562-17226-28237,28237
4248,17226,4248-17226-28228,28228
6991,17226,6991-17226-28228,28228
680,17226,680-17226-28228,28228
10718,17226,10718-17226-28228,28228
1736,17226,1736-17226-28228,28228
5149,17226,5149-17226-28228,28228
7915,5284,7915-5284-40959,40959
1065,5284,1065-5284-40959,40959
3538,5284,3538-5284-40959,40959
9652,5284,9652-5284-40959,40959
5944,5284,5944-5284-40959,40959
5355,5284,5355-5284-40959,40959
3358,5284,3358-5284-40959,40959
1134,5284,1134-5284-40959,40959
4975,5284,4975-5284-40959,40959
4390,5284,4390-5284-40959,40959
4044,5284,4044-5284-40959,40959
6191,5284,6191-5284-40959,40959
4853,5284,4853-5284-40959,40959
2425,5284,2425-5284-40959,40959
11656,5284,11656-5284-40959,40959
10409,5284,10409-5284-40959,40959
11330,5284,11330-5284-40959,40959
7974,5284,7974-5284-40959,40959
5530,5284,5530-5284-40959,40959
7810,5284,7810-5284-40959,40959
1286,5284,1286-5284-40959,40959
1284,5284,1284-5284-40959,40959
998,5284,998-5284-40959,40959
5438,5284,5438-5284-40959,40959
13,5284,13-5284-40959,40959
6753,5284,6753-5284-40959,40959
7328,5284,7328-5284-40959,40959
4248,16676,4248-16676-28228,28228
4085,16676,4085-16676-28228,28228
997,16676,997-16676-28237,28237
5089,16676,5089-16676-28228,28228
3553,16676,3553-16676-28228,28228
9828,16676,9828-16676-28228,28228
7450,16676,7450-16676-28237,28237
4975,16676,4975-16676-28228,28228
9652,16676,9652-16676-28228,28228
7646,16676,7646-16676-28228,28228
6191,16676,6191-16676-28228,28228
680,16676,680-16676-28228,28228
3443,16676,3443-16676-28228,28228
6605,16676,6605-16676-28228,28228
8004,16676,8004-16676-28228,28228
7949,16676,7949-16676-28228,28228
10718,16676,10718-16676-28228,28228
376,16676,376-16676-28228,28228
5272,16676,5272-16676-28228,28228
1736,16676,1736-16676-28228,28228
1766,16676,1766-16676-28228,28228
7790,16676,7790-16676-28228,28228
9149,16676,9149-16676-28228,28228
5149,16676,5149-16676-28228,28228
8270,16676,8270-16676-28228,28228
6962,16676,6962-16676-28228,28228
10888,16676,10888-16676-28228,28228
2208,6142,2208-6142-28237,28237
9641,14988,9641-14988-28228,28228
3817,6142,3817-6142-28237,28237
8087,6142,8087-6142-28237,28237
9877,14988,9877-14988-28228,28228
10839,6142,10839-6142-28237,28237
8987,6142,8987-6142-28237,28237
470,6142,470-6142-28237,28237
11686,6142,11686-6142-28237,28237
3553,14988,3553-14988-28228,28228
5791,14988,5791-14988-28228,28228
6816,14988,6816-14988-28228,28228
6021,6142,6021-6142-28237,28237
2719,14988,2719-14988-28228,28228
11612,14988,11612-14988-28228,28228
8627,14988,8627-14988-28228,28228
6093,6142,6093-6142-28237,28237
5448,6142,5448-6142-28237,28237
10600,14988,10600-14988-28228,28228
1850,6142,1850-6142-28237,28237
7450,6142,7450-6142-28237,28237
4010,14988,4010-14988-28228,28228
4715,6142,4715-6142-28237,28237
6440,14988,6440-14988-28228,28228
6191,14988,6191-14988-28228,28228
1766,14988,1766-14988-28228,28228
9158,14988,9158-14988-28228,28228
6451,14988,6451-14988-28228,28228
183,6142,183-6142-28237,28237
3027,6142,3027-6142-28237,28237
5142,14988,5142-14988-28228,28228
6791,14988,6791-14988-28228,28228
9574,6142,9574-6142-28237,28237
4892,14988,4892-14988-28228,28228
5725,3393,5725-3393-40959,40959
11656,3393,11656-3393-40959,40959
998,3393,998-3393-40959,40959
9722,3393,9722-3393-40959,40959
4248,7752,4248-7752-28228,28228
9427,7752,9427-7752-28237,28237
8987,7752,8987-7752-28237,28237
11612,7752,11612-7752-28228,28228
9877,7752,9877-7752-28228,28228
9141,7752,9141-7752-28237,28237
8762,7752,8762-7752-28237,28237
4975,7752,4975-7752-28228,28228
1522,7752,1522-7752-28237,28237
2465,7752,2465-7752-28228,28228
5446,7752,5446-7752-28237,28237
9649,7752,9649-7752-28237,28237
3817,7752,3817-7752-28237,28237
8627,7752,8627-7752-28228,28228
4085,7752,4085-7752-28228,28228
9283,7752,9283-7752-28237,28237
6868,7752,6868-7752-28237,28237
10720,7752,10720-7752-28237,28237
4865,7752,4865-7752-28228,28228
1021,7752,1021-7752-28228,28228
5089,7752,5089-7752-28228,28228
9158,7752,9158-7752-28228,28228
4010,7752,4010-7752-28228,28228
9966,7752,9966-7752-28228,28228
3261,7752,3261-7752-28237,28237
4248,10830,4248-10830-28228,28228
4085,10830,4085-10830-28228,28228
8987,10830,8987-10830-28237,28237
3817,10830,3817-10830-28237,28237
6605,10830,6605-10830-28228,28228
2116,10830,2116-10830-28228,28228
9828,10830,9828-10830-28228,28228
10718,10830,10718-10830-28228,28228
8562,10830,8562-10830-28237,28237
4975,10830,4975-10830-28228,28228
8627,10830,8627-10830-28228,28228
1086,10830,1086-10830-28228,28228
3274,10830,3274-10830-28228,28228
680,10830,680-10830-28228,28228
9877,10830,9877-10830-28228,28228
3867,10830,3867-10830-28228,28228
6093,10830,6093-10830-28237,28237
1766,10830,1766-10830-28228,28228
9141,10830,9141-10830-28237,28237
3553,10830,3553-10830-28228,28228
2336,10830,2336-10830-28228,28228
376,10830,376-10830-28228,28228
10600,6059,10600-6059-28228,28228
2208,6059,2208-6059-28237,28237
3817,6059,3817-6059-28237,28237
8987,6059,8987-6059-28237,28237
4010,6059,4010-6059-28228,28228
9877,6059,9877-6059-28228,28228
9828,6059,9828-6059-28228,28228
6868,6059,6868-6059-28228,28228
6227,6059,6227-6059-28228,28228
4795,6059,4795-6059-28237,28237
